date,wave,state,sex,income,employ,region,media,educ,gore,bush,party,prepref,bush.sum,media.sum,gore.sum,party.dummy
20000129,1,WI,female,NA,4,3,16,5,NA,NA,Dem,2,3988,16,3988,1
20000128,1,WI,female,6,6,3,2,3,NA,NA,Dem,2,3988,2,3988,1
20000128,1,CA,female,NA,1,9,13,9,NA,NA,Repub,1,3988,13,3988,0
20000129,1,OH,female,5,1,3,20,3,NA,NA,Repub,1,3988,20,3988,0
20000129,1,TN,female,1,6,6,21,3,NA,10,Dem,2,10,21,1004,1
20000129,1,UT,male,2,3,8,1,3,NA,NA,Repub,1,3992,1,3992,0
20000128,1,AZ,male,6,1,8,18,9,NA,NA,Dem,2,3988,18,3988,1
20000129,1,AZ,female,5,4,8,23,7,10,5,Repub,1,5,23,10,0
20000129,1,AZ,female,4,5,8,26,5,NA,NA,NA,997,3988,26,3988,0
20000129,1,OR,female,4,4,9,16,8,NA,NA,Dem,2,3988,16,3988,1
20000127,1,MA,female,6,4,1,28,9,NA,NA,NA,997,3988,28,3988,0
20000128,1,MA,male,2,5,1,15,3,NA,NA,Repub,1,3988,15,3988,0
20000129,1,CA,female,8,1,9,24,6,NA,NA,NA,997,3988,24,3988,0
20000128,1,AZ,female,4,6,8,10,7,NA,NA,Repub,1,3988,10,3988,0
20000128,1,AZ,male,3,1,8,24,3,NA,NA,Repub,1,3988,24,3988,0
20000128,1,AZ,male,8,1,8,21,7,NA,NA,Repub,1,3988,21,3988,0
20000129,1,PA,male,5,2,2,19,7,NA,NA,NA,3,3988,19,3988,0
20000129,1,SD,female,3,6,4,18,5,NA,NA,Repub,1,1004,18,1004,0
20000128,1,NJ,female,7,1,2,7,5,NA,NA,Repub,1,3988,7,3988,0
20000128,1,MI,female,5,1,3,5,5,NA,NA,Repub,1,3988,5,3988,0
20000129,1,MI,female,5,1,3,4,5,NA,NA,Repub,1,3988,4,3988,0
20000128,1,MA,male,5,1,1,7,7,NA,NA,Dem,2,3988,7,3988,1
20000129,1,MA,female,4,1,1,14,7,5,14,Dem,2,14,14,5,1
20000129,1,IL,female,2,2,3,9,2,16,16,NA,997,16,9,16,0
20000129,1,MS,female,5,1,6,11,5,16,6,Repub,1,6,11,16,0
20000129,1,NV,female,3,4,8,2,6,4,15,Dem,2,15,2,4,1
20000129,1,NV,female,1,5,8,16,3,NA,NA,Dem,2,3988,16,3988,1
20000129,1,NV,male,7,1,8,31,5,10,9,Repub,1,9,31,10,0
20000128,1,IL,male,6,1,3,14,2,NA,NA,Dem,2,3988,14,3988,1
20000129,1,IL,male,7,1,3,15,7,7,9,NA,997,9,15,7,0
20000128,1,CA,male,6,1,9,12,9,12,5,Repub,1,5,12,12,0
20000129,1,NY,male,NA,2,2,5,2,NA,NA,Dem,2,3988,5,3988,1
20000129,1,NY,female,6,1,2,16,7,NA,NA,Repub,1,3988,16,3988,0
20000128,1,PA,male,2,1,2,18,3,NA,NA,Repub,1,2998,18,3992,0
20000129,1,PA,male,4,2,2,13,9,NA,NA,Dem,2,3988,13,3988,1
20000129,1,FL,female,5,1,5,21,3,NA,NA,Dem,2,3988,21,3988,1
20000129,1,MI,male,1,4,3,23,3,NA,NA,Repub,1,3988,23,3988,0
20000129,1,MI,female,5,2,3,17,7,NA,NA,Repub,1,3988,17,3988,0
20000128,1,MI,female,1,8,3,21,2,NA,NA,Dem,2,3988,21,3988,1
20000129,1,OH,male,7,1,3,18,7,NA,NA,Repub,1,3988,18,3988,0
20000128,1,CA,male,8,7,9,18,5,10,7,Repub,1,7,18,10,0
20000128,1,VA,male,6,1,5,25,5,NA,NA,Dem,2,3988,25,3988,1
20000129,1,VA,male,9,1,5,12,9,NA,NA,Dem,2,3988,12,3988,1
20000127,1,TX,female,7,6,7,28,9,NA,NA,Repub,1,3988,28,3988,0
20000128,1,TX,female,6,1,7,28,5,NA,NA,NA,997,3988,28,3988,0
20000129,1,IN,male,3,1,3,7,5,NA,NA,Repub,1,3988,7,3988,0
20000129,1,FL,male,7,1,5,16,9,10,10,Repub,1,10,16,10,0
20000128,1,PA,male,2,5,2,1,3,NA,NA,Dem,2,3988,1,3988,1
20000128,1,MO,male,7,1,4,19,6,NA,NA,Repub,1,3988,19,3988,0
20000129,1,CT,male,2,1,1,9,2,NA,NA,Repub,1,3988,9,3988,0
20000128,1,AR,male,5,4,7,24,5,NA,NA,Dem,2,3988,24,3988,1
20000129,1,AR,female,7,4,7,20,5,NA,NA,Dem,2,3988,20,3988,1
20000129,1,NC,female,3,2,5,15,3,NA,NA,Dem,2,3988,15,3988,1
20000129,1,NC,female,1,4,5,0,3,NA,NA,Repub,1,2000,0,3964,0
20000128,1,GA,female,NA,1,5,NA,7,5,10,Dem,2,10,1013,5,1
20000128,1,GA,female,NA,4,5,21,2,8,8,Repub,1,8,21,8,0
20000127,1,GA,female,2,3,5,10,5,12,5,Repub,1,5,10,12,0
20000129,1,OK,female,2,4,7,25,7,NA,NA,Repub,1,3988,25,3988,0
20000128,1,NC,male,6,1,5,19,5,8,9,Repub,1,9,19,8,0
20000128,1,NC,female,7,1,5,26,7,NA,NA,Dem,2,3988,26,3988,1
20000129,1,NC,female,5,6,5,9,6,NA,NA,Dem,2,3988,9,3988,1
20000127,1,NC,female,9,1,5,29,7,NA,NA,Repub,1,3988,29,3988,0
20000128,1,TN,female,7,1,6,23,7,NA,NA,Repub,1,3988,23,3988,0
20000128,1,TX,male,7,1,7,12,7,NA,NA,Repub,1,3988,12,3988,0
20000129,1,FL,male,3,1,5,6,2,NA,6,Repub,1,6,6,3964,0
20000129,1,CA,female,6,4,9,14,3,12,12,Repub,1,12,14,12,0
20000128,1,CA,female,5,1,9,15,5,NA,NA,Dem,2,3988,15,3988,1
20000129,1,CA,male,5,2,9,6,5,NA,NA,Dem,2,3988,6,3988,1
20000128,1,NJ,female,3,1,2,23,5,4,8,Dem,2,8,23,4,1
